nom_scientifique (str), n_puce (int), taille (int), sexe (str), date_naissance (str), n_enclos (int)
Ursus maritimus,1,1764,M,11/9/2016,30
Hippopotamus amphibius,1,729,M,4/7/2011,35
Ailurus fulgens,1,643,F,12/10/2011,39
Lynx rufus,1,772,M,7/8/2015,39
Urocyon cinereoargenteus,1,171,M,20/1/2011,43
Panthera uncia,1,1252,M,3/10/2013,27
Ursus maritimus,2,333,M,9/5/2011,18
Loxodonta africana,1,649,F,13/4/2012,35
Aptenodytes forsteri,1,910,F,4/7/2011,6
Cervus canadensis,1,1472,F,21/8/2012,22
Ardea cinerea,1,1838,F,24/2/2011,19
Canis lupus,1,680,M,14/6/2011,19
Bubo scandiacus,1,1844,F,18/11/2015,39
Lutra lutra,1,331,F,4/10/2010,49
Canis lupus,2,706,M,13/11/2014,25
Pongo pygmaeus,1,1560,M,20/11/2014,20
Elephas maximus,1,744,M,15/9/2011,2
Pongo pygmaeus,2,1086,M,21/11/2013,2
Ursus maritimus,3,717,M,4/4/2016,18
Ailuropoda melanoleuca,1,906,F,8/5/2012,21
Pongo pygmaeus,3,769,M,11/6/2016,50
Lutra lutra,2,337,M,12/3/2015,19
Panthera leo,1,531,F,23/12/2012,29
Urocyon cinereoargenteus,2,1651,F,20/7/2011,43
Bubo scandiacus,2,1426,M,3/11/2010,6
Elephas maximus,2,1362,M,1/9/2013,50
Rangifer tarandus,1,1146,M,11/8/2010,48
Giraffa camelopardalis,1,744,M,22/6/2013,27
Prunella modularis,1,826,F,27/8/2015,37
Urocyon cinereoargenteus,3,255,M,24/3/2011,13
Canis dingo,1,1034,M,24/9/2012,29
Ursus maritimus,4,1169,F,18/3/2015,12
Panthera leo,2,1434,M,25/12/2016,29
Struthio camelus,1,164,F,23/8/2012,47
Urocyon cinereoargenteus,4,1726,F,26/11/2011,7
Struthio camelus,2,119,M,15/9/2011,28
Canis lupus,3,779,F,21/1/2016,13
Giraffa camelopardalis,2,1763,M,23/5/2016,17
Loxodonta africana,2,1871,M,24/9/2011,32
Felis silvestris,1,329,F,19/1/2010,37
Cervus canadensis,2,1467,F,20/3/2013,28
Elephas maximus,3,246,F,4/11/2012,14
Rangifer tarandus,2,1106,M,3/10/2012,22
Hippopotamus amphibius,2,129,M,2/3/2010,34
Eunectes murinus,1,991,F,5/8/2012,38
Pongo pygmaeus,4,377,M,19/10/2016,32
Panthera pardus,1,263,M,6/10/2011,32
Felis silvestris,2,1101,F,15/9/2010,1
Aptenodytes forsteri,2,765,M,20/4/2012,30
Lutra lutra,3,684,F,5/11/2015,10
Panthera uncia,2,1443,F,1/10/2012,9
Panthera tigris,1,1598,F,27/7/2014,35
Ardea cinerea,2,1101,M,19/9/2013,13
Hippopotamus amphibius,3,1920,M,24/5/2016,35
Ursus maritimus,5,220,F,26/10/2012,48
Panthera pardus,2,1013,M,25/3/2012,14
Struthio camelus,3,611,M,1/8/2016,46
Haliaeetus leucocephalus,1,798,M,24/5/2013,22
Hippopotamus amphibius,4,1132,M,23/1/2015,11
Haliaeetus leucocephalus,2,1358,M,11/9/2014,50
Lynx rufus,2,1306,M,23/6/2015,45
Canis dingo,2,459,F,24/10/2011,5
Panthera pardus,3,114,F,7/2/2014,43
Canis lupus,4,515,F,7/3/2013,49
Lynx rufus,3,1390,F,9/8/2016,21
Struthio camelus,4,134,F,17/3/2015,10
Aptenodytes forsteri,3,1946,M,9/6/2011,48
Ardea cinerea,3,1443,F,20/9/2016,31
Pongo pygmaeus,5,1411,M,8/1/2012,38
Haliaeetus leucocephalus,3,898,F,3/4/2016,42
Ardea cinerea,4,634,M,22/2/2010,22
Felis silvestris,3,1666,M,24/6/2010,31
Hippopotamus amphibius,5,1211,M,22/8/2010,28
Panthera leo,3,991,F,6/8/2014,8
Canis dingo,3,369,F,2/9/2013,31
Pongo pygmaeus,6,1720,F,19/4/2014,2
Hippopotamus amphibius,6,778,F,26/6/2011,22
Ardea cinerea,5,1167,F,14/12/2012,1
Lynx rufus,4,1975,F,21/4/2014,39
Equus caballus,1,1807,F,10/1/2011,10
Ailurus fulgens,2,730,F,14/5/2011,7
Struthio camelus,5,1133,F,27/4/2010,23
Elephas maximus,4,1110,M,13/7/2014,44
Hippopotamus amphibius,7,240,M,20/10/2016,46
Equus caballus,2,1467,M,8/3/2016,10
Lutra lutra,4,656,F,7/10/2014,16
Struthio camelus,6,521,M,14/12/2013,40
Ailuropoda melanoleuca,2,675,M,22/4/2012,38
Cervus canadensis,3,728,M,21/3/2013,16
Struthio camelus,7,728,M,25/11/2014,41
Haliaeetus leucocephalus,4,1545,F,10/5/2010,49
Lynx rufus,5,869,M,22/12/2014,25
Pan troglodytes,1,1536,F,4/9/2010,38
Ardea cinerea,6,844,M,21/10/2015,40
Felis silvestris,4,248,M,7/6/2013,28
Struthio camelus,8,812,M,4/8/2015,34
Lynx rufus,6,1718,F,17/8/2011,39
Panthera uncia,3,1222,M,15/9/2013,10
Bubo scandiacus,3,216,F,11/12/2010,42
Ailurus fulgens,3,818,F,8/5/2010,33
Rangifer tarandus,3,1565,M,18/12/2016,34
Panthera pardus,4,1384,F,2/2/2014,23
Hippopotamus amphibius,8,1269,M,12/9/2011,6
Aptenodytes forsteri,4,696,F,27/9/2015,24
Ursus maritimus,6,1111,M,10/1/2012,30
Falco peregrinus,1,1962,F,2/12/2011,15
Giraffa camelopardalis,3,1774,F,22/1/2016,11
Cervus canadensis,4,1951,M,2/2/2013,40
Panthera leo,4,1663,M,7/9/2013,23
Ardea cinerea,7,307,M,20/11/2011,7
Canis lupus,5,246,M,2/1/2013,25
Urocyon cinereoargenteus,5,444,M,13/5/2011,7
Lynx rufus,7,1312,F,16/7/2016,43
Lutra lutra,5,1617,M,20/4/2012,43
Urocyon cinereoargenteus,6,982,F,17/5/2014,19
Pan troglodytes,2,594,F,16/1/2012,32
Rangifer tarandus,4,147,M,5/11/2015,34
Panthera uncia,4,1478,F,3/1/2014,37
Elephas maximus,5,1359,M,26/9/2011,26
Urocyon cinereoargenteus,7,132,F,22/4/2010,46
Elephas maximus,6,1084,M,21/3/2012,50
Giraffa camelopardalis,4,868,F,16/1/2011,11
Ailuropoda melanoleuca,3,394,F,23/1/2014,2
Equus caballus,3,1690,M,1/5/2011,46
Struthio camelus,9,1360,F,13/3/2015,34
Struthio camelus,10,1056,F,12/11/2014,46
Ailurus fulgens,4,1241,M,1/5/2013,25
Lutra lutra,6,202,M,14/7/2012,46
Hippopotamus amphibius,9,445,M,1/5/2016,41
Canis lupus,6,946,F,25/4/2011,31
Panthera uncia,5,1062,M,22/11/2011,18
Panthera pardus,5,1916,M,22/2/2015,50
Panthera leo,5,1975,F,25/2/2012,20
Elephas maximus,7,984,F,20/12/2016,8
Bubo scandiacus,4,799,F,5/1/2016,48
Eunectes murinus,2,1783,F,1/2/2011,14
Urocyon cinereoargenteus,8,1421,F,11/1/2016,10
Rangifer tarandus,5,802,M,5/4/2014,22
Giraffa camelopardalis,5,1294,M,8/9/2013,29
Haliaeetus leucocephalus,5,582,M,11/5/2012,4
Felis silvestris,5,746,F,12/10/2011,31
Rangifer tarandus,6,497,M,5/4/2012,40
Eunectes murinus,3,1966,M,22/12/2016,19
Bubo scandiacus,5,529,F,26/6/2012,48
Ailurus fulgens,5,893,M,3/12/2016,39
Urocyon cinereoargenteus,9,909,F,7/1/2012,46
Ardea cinerea,8,1635,M,26/9/2014,25
Panthera uncia,6,392,F,24/4/2015,18
Panthera uncia,7,1593,M,8/6/2015,43
Canis dingo,4,750,M,8/7/2014,43
Elephas maximus,8,1204,M,18/11/2012,44
Canis lupus,7,532,M,19/12/2011,13
Panthera uncia,8,1784,M,20/1/2014,7
Prunella modularis,2,858,M,5/7/2012,7
Urocyon cinereoargenteus,10,134,F,1/7/2013,37
Aptenodytes forsteri,5,913,F,19/9/2011,12
Ardea cinerea,9,1186,M,10/5/2014,13
Panthera tigris,2,1344,M,5/2/2010,38
Loxodonta africana,3,1031,M,21/3/2015,11
Lynx rufus,8,907,M,7/6/2014,27
Prunella modularis,3,596,M,16/7/2010,28
Panthera leo,6,849,M,14/11/2014,11
Loxodonta africana,4,1307,F,14/6/2015,17
Falco peregrinus,2,1854,F,11/2/2012,46
Ailuropoda melanoleuca,4,670,F,23/7/2016,45
Aptenodytes forsteri,6,622,M,11/12/2013,18
Haliaeetus leucocephalus,6,1064,F,5/6/2015,43
Prunella modularis,4,1721,F,21/8/2013,9
Ailuropoda melanoleuca,5,913,M,3/10/2013,45
Aptenodytes forsteri,7,962,M,15/2/2016,30
Aptenodytes forsteri,8,1543,M,8/1/2010,24
Struthio camelus,11,575,M,16/5/2012,46
Aptenodytes forsteri,9,823,F,20/4/2010,36
Eunectes murinus,4,1673,F,26/1/2013,2
Aptenodytes forsteri,10,1998,M,22/7/2015,18
Panthera tigris,3,733,F,27/5/2016,47
Rangifer tarandus,7,1732,F,11/11/2015,13
Falco peregrinus,3,1694,M,10/11/2016,9
Canis lupus,8,1180,M,8/12/2016,43
Ursus maritimus,7,785,F,9/1/2015,6
Ursus maritimus,8,246,F,13/3/2012,48
Ailuropoda melanoleuca,6,150,F,25/10/2013,45
Elephas maximus,9,1516,M,20/12/2015,20
Bubo scandiacus,6,1924,F,7/7/2011,30
Giraffa camelopardalis,6,452,F,24/4/2010,41
Hippopotamus amphibius,10,667,F,16/7/2012,11
Hippopotamus amphibius,11,1751,F,23/2/2015,11
Bubo scandiacus,7,253,M,26/5/2016,33
Felis silvestris,6,305,M,20/10/2012,13
Panthera uncia,9,1668,F,19/10/2015,15
Prunella modularis,5,370,M,13/7/2010,37
Aptenodytes forsteri,11,809,M,3/5/2016,42
Panthera uncia,10,1087,F,16/9/2015,27
Lutra lutra,7,354,M,8/4/2013,4
Giraffa camelopardalis,7,1863,M,24/3/2016,29
Giraffa camelopardalis,8,1103,F,25/7/2014,47
Rangifer tarandus,8,1933,F,23/9/2010,13
Elephas maximus,10,1502,M,14/3/2014,20
Pongo pygmaeus,7,1958,M,13/10/2015,8
Ailurus fulgens,6,1454,M,26/7/2015,50
Canis lupus,9,784,F,12/4/2010,25
Rangifer tarandus,9,934,M,18/10/2015,40
Panthera tigris,4,138,F,11/5/2015,14
Ailurus fulgens,7,1269,F,10/6/2011,2
Pan troglodytes,3,214,M,25/12/2013,14
Struthio camelus,12,122,F,26/3/2013,11
Panthera leo,7,203,M,8/1/2011,8
Aptenodytes forsteri,12,848,M,8/12/2011,24
Elephas maximus,11,1209,F,12/9/2016,20
Aptenodytes forsteri,13,1338,F,6/10/2013,42
Falco peregrinus,4,970,F,26/7/2011,27
Rangifer tarandus,10,1136,F,22/8/2013,37
Ailuropoda melanoleuca,7,1459,M,26/3/2014,50
Panthera leo,8,170,M,4/11/2012,5
Ailurus fulgens,8,1519,M,1/9/2014,26
Cervus canadensis,5,819,F,24/3/2015,34
Rangifer tarandus,11,1624,F,19/9/2010,31
Haliaeetus leucocephalus,7,1245,M,21/9/2014,34
Ailuropoda melanoleuca,8,1186,M,27/7/2010,14
Hippopotamus amphibius,12,1845,M,19/3/2015,29
Bubo scandiacus,8,1688,F,15/7/2014,3
Cervus canadensis,6,1236,F,27/11/2015,1
Pongo pygmaeus,8,376,M,9/12/2016,36
Ursus maritimus,9,1582,M,13/6/2010,26
Felis silvestris,7,1849,F,25/4/2015,43
Panthera tigris,5,635,M,8/9/2014,50
Panthera leo,9,1204,F,8/9/2013,20
Pongo pygmaeus,9,973,M,17/4/2012,14
Pongo pygmaeus,10,668,F,26/7/2015,8
Ursus maritimus,10,1068,M,7/3/2012,42
Felis silvestris,8,765,M,13/4/2010,40
Struthio camelus,13,1694,F,18/12/2016,20
Ailurus fulgens,9,1077,M,17/11/2012,43
Panthera uncia,11,593,M,4/9/2014,43
Ursus maritimus,11,1915,F,21/8/2015,30
Giraffa camelopardalis,9,1832,M,9/12/2016,17
Ailuropoda melanoleuca,9,804,F,18/12/2011,26
Pan troglodytes,4,816,F,16/6/2015,8
Giraffa camelopardalis,10,844,F,19/10/2015,47
