n_entretien (int), n_registre (int), n_materiel (int), date (str), n_enclos (int)
1,13,2,1/1/2017,44
2,21,46,2/1/2017,47
3,22,23,2/1/2017,39
4,9,31,2/1/2017,6
5,6,25,2/1/2017,12
6,6,10,2/1/2017,37
7,18,39,2/1/2017,20
8,9,33,2/1/2017,34
9,14,31,2/1/2017,30
10,18,29,3/1/2017,46
11,21,36,4/1/2017,28
12,24,17,5/1/2017,48
13,13,1,5/1/2017,38
14,15,2,6/1/2017,27
15,18,39,6/1/2017,15
16,9,6,6/1/2017,24
17,9,3,6/1/2017,19
18,23,49,7/1/2017,31
19,22,47,8/1/2017,34
20,24,4,8/1/2017,22
21,22,33,8/1/2017,40
22,24,13,8/1/2017,12
23,18,49,8/1/2017,50
24,5,15,8/1/2017,43
25,14,20,8/1/2017,25
26,13,43,8/1/2017,46
27,5,35,8/1/2017,3
28,23,31,8/1/2017,37
29,24,11,9/1/2017,24
30,18,7,10/1/2017,18
31,18,27,11/1/2017,3
32,9,22,11/1/2017,12
33,9,49,11/1/2017,47
34,23,25,11/1/2017,24
35,20,20,11/1/2017,12
36,18,2,11/1/2017,14
37,6,41,11/1/2017,36
38,23,39,11/1/2017,38
39,23,11,11/1/2017,36
40,23,31,11/1/2017,16
41,8,21,12/1/2017,40
42,14,47,12/1/2017,31
43,5,1,12/1/2017,13
44,23,35,12/1/2017,12
45,14,31,13/1/2017,9
46,6,40,14/1/2017,33
47,14,18,15/1/2017,30
48,9,32,15/1/2017,13
49,21,19,16/1/2017,15
50,5,5,17/1/2017,2
51,24,11,17/1/2017,3
52,5,1,17/1/2017,10
53,22,22,17/1/2017,13
54,23,40,18/1/2017,43
55,14,7,18/1/2017,2
56,24,31,18/1/2017,17
57,18,21,18/1/2017,39
58,22,35,18/1/2017,46
59,24,6,18/1/2017,13
60,15,24,18/1/2017,5
61,9,35,18/1/2017,36
62,8,25,18/1/2017,23
63,24,8,18/1/2017,8
64,14,43,18/1/2017,49
65,21,41,18/1/2017,14
66,24,30,18/1/2017,38
