n_intervention (int), date (str), description (str), n_registre (int), nom_latin (str), n_puce (int)
1,1/1/2017,soins divers,2,Elephas maximus,38
2,1/1/2017,platre,3,Struthio camelus,13
3,2/1/2017,platre,1,Pan troglodytes,14
4,2/1/2017,operation,12,Panthera pardus,15
5,2/1/2017,soins divers,7,Pan troglodytes,27
6,2/1/2017,operation,10,Struthio camelus,14
7,2/1/2017,mise en quarantaine,25,Lynx rufus,4
8,2/1/2017,mise en quarantaine,2,Ursus maritimus,4
9,2/1/2017,platre,28,Giraffa camelopardalis,19
10,2/1/2017,soins divers,4,Pongo pygmaeus,35
11,2/1/2017,platre,3,Urocyon cinereoargenteus,17
12,2/1/2017,platre,12,Lynx rufus,20
13,2/1/2017,mise en quarantaine,30,Urocyon cinereoargenteus,30
14,2/1/2017,operation,30,Giraffa camelopardalis,29
15,2/1/2017,operation,30,Elephas maximus,22
16,2/1/2017,vaccin,3,Ailuropoda melanoleuca,4
17,2/1/2017,platre,7,Ardea cinerea,35
18,2/1/2017,operation,26,Bubo scandiacus,18
19,2/1/2017,platre,4,Pongo pygmaeus,22
20,2/1/2017,soins divers,28,Hippopotamus amphibius,14
21,2/1/2017,soins divers,4,Urocyon cinereoargenteus,4
22,2/1/2017,soins divers,1,Equus caballus,4
23,2/1/2017,soins divers,25,Cervus canadensis,2
24,2/1/2017,mise en quarantaine,4,Lutra lutra,20
25,2/1/2017,soins divers,27,Eunectes murinus,1
26,2/1/2017,vaccin,26,Urocyon cinereoargenteus,20
27,2/1/2017,vaccin,12,Lutra lutra,16
28,2/1/2017,platre,12,Ailurus fulgens,31
29,2/1/2017,operation,2,Aptenodytes forsteri,39
30,2/1/2017,soins divers,10,Bubo scandiacus,9
31,3/1/2017,mise en quarantaine,26,Aptenodytes forsteri,18
32,4/1/2017,platre,7,Lutra lutra,15
33,4/1/2017,operation,1,Felis silvestris,12
34,4/1/2017,soins divers,11,Equus caballus,23
35,4/1/2017,operation,10,Ailurus fulgens,15
36,4/1/2017,soins divers,28,Ursus maritimus,15
37,4/1/2017,operation,26,Cervus canadensis,26
38,4/1/2017,vaccin,10,Lynx rufus,23
39,5/1/2017,operation,25,Ursus maritimus,32
40,5/1/2017,mise en quarantaine,2,Rangifer tarandus,27
41,5/1/2017,soins divers,3,Canis lupus,19
42,5/1/2017,vaccin,25,Equus caballus,26
43,5/1/2017,vaccin,25,Aptenodytes forsteri,20
44,5/1/2017,soins divers,4,Pongo pygmaeus,10
45,5/1/2017,operation,12,Struthio camelus,21
46,5/1/2017,soins divers,2,Ailurus fulgens,40
47,5/1/2017,operation,4,Ursus maritimus,12
48,5/1/2017,mise en quarantaine,25,Haliaeetus leucocephalus,7
49,5/1/2017,vaccin,12,Lynx rufus,23
50,5/1/2017,vaccin,4,Ardea cinerea,35
51,6/1/2017,operation,19,Panthera uncia,1
52,6/1/2017,platre,29,Ursus maritimus,15
53,6/1/2017,soins divers,12,Panthera tigris,23
54,6/1/2017,soins divers,7,Pongo pygmaeus,32
55,6/1/2017,vaccin,3,Loxodonta africana,16
56,6/1/2017,vaccin,28,Panthera pardus,18
57,6/1/2017,vaccin,26,Panthera pardus,5
58,6/1/2017,platre,2,Eunectes murinus,14
59,6/1/2017,platre,19,Panthera leo,26
60,6/1/2017,platre,30,Lutra lutra,23
61,6/1/2017,operation,26,Urocyon cinereoargenteus,12
62,7/1/2017,operation,10,Pongo pygmaeus,35
63,8/1/2017,soins divers,19,Lutra lutra,24
64,8/1/2017,soins divers,16,Panthera leo,7
65,8/1/2017,operation,7,Loxodonta africana,22
66,9/1/2017,mise en quarantaine,16,Ardea cinerea,30
67,9/1/2017,platre,19,Bubo scandiacus,33
68,10/1/2017,operation,27,Hippopotamus amphibius,1
69,10/1/2017,platre,10,Falco peregrinus,19
70,11/1/2017,soins divers,27,Cervus canadensis,8
71,11/1/2017,platre,4,Bubo scandiacus,36
72,11/1/2017,operation,26,Falco peregrinus,14
73,11/1/2017,soins divers,3,Struthio camelus,13
74,11/1/2017,mise en quarantaine,1,Equus caballus,29
75,12/1/2017,mise en quarantaine,12,Loxodonta africana,15
76,12/1/2017,mise en quarantaine,3,Lutra lutra,14
77,12/1/2017,vaccin,11,Bubo scandiacus,17
78,13/1/2017,soins divers,17,Bubo scandiacus,3
79,13/1/2017,vaccin,12,Eunectes murinus,17
80,13/1/2017,soins divers,3,Giraffa camelopardalis,14
81,14/1/2017,vaccin,3,Ailurus fulgens,1
82,14/1/2017,soins divers,17,Struthio camelus,21
83,14/1/2017,soins divers,29,Aptenodytes forsteri,32
84,14/1/2017,platre,28,Bubo scandiacus,1
85,14/1/2017,mise en quarantaine,17,Aptenodytes forsteri,7
86,14/1/2017,soins divers,25,Panthera leo,42
87,14/1/2017,platre,4,Falco peregrinus,24
88,14/1/2017,operation,27,Elephas maximus,16
89,14/1/2017,mise en quarantaine,7,Rangifer tarandus,6
90,15/1/2017,vaccin,16,Panthera leo,19
91,16/1/2017,mise en quarantaine,30,Pongo pygmaeus,13
92,16/1/2017,platre,30,Lynx rufus,8
93,16/1/2017,soins divers,4,Ardea cinerea,34
94,16/1/2017,mise en quarantaine,2,Pan troglodytes,32
95,16/1/2017,soins divers,25,Prunella modularis,4
96,16/1/2017,mise en quarantaine,26,Ailuropoda melanoleuca,25
97,16/1/2017,platre,11,Prunella modularis,7
98,16/1/2017,platre,11,Pongo pygmaeus,37
99,17/1/2017,mise en quarantaine,28,Panthera leo,37
100,17/1/2017,soins divers,26,Haliaeetus leucocephalus,3
101,17/1/2017,platre,11,Pongo pygmaeus,30
102,17/1/2017,platre,27,Canis dingo,32
103,18/1/2017,platre,27,Equus caballus,11
104,18/1/2017,platre,26,Falco peregrinus,6
105,19/1/2017,mise en quarantaine,11,Aptenodytes forsteri,36
106,19/1/2017,operation,11,Falco peregrinus,15
107,19/1/2017,soins divers,11,Panthera leo,44
108,19/1/2017,operation,16,Panthera uncia,3
109,19/1/2017,platre,26,Pongo pygmaeus,14
110,19/1/2017,soins divers,11,Giraffa camelopardalis,19
111,19/1/2017,mise en quarantaine,29,Rangifer tarandus,11
112,19/1/2017,mise en quarantaine,25,Felis silvestris,18
113,19/1/2017,mise en quarantaine,7,Lutra lutra,3
114,19/1/2017,vaccin,25,Giraffa camelopardalis,33
115,20/1/2017,operation,27,Urocyon cinereoargenteus,20
116,21/1/2017,mise en quarantaine,11,Loxodonta africana,1
117,21/1/2017,operation,28,Rangifer tarandus,24
118,21/1/2017,vaccin,17,Cervus canadensis,24
119,21/1/2017,operation,12,Hippopotamus amphibius,1
120,21/1/2017,mise en quarantaine,17,Ardea cinerea,26
121,21/1/2017,mise en quarantaine,7,Canis lupus,2
122,21/1/2017,operation,1,Pan troglodytes,15
123,22/1/2017,platre,17,Bubo scandiacus,11
124,22/1/2017,mise en quarantaine,19,Hippopotamus amphibius,2
125,22/1/2017,vaccin,17,Panthera leo,32
126,22/1/2017,mise en quarantaine,10,Falco peregrinus,8
127,22/1/2017,soins divers,29,Ailurus fulgens,12
128,23/1/2017,vaccin,19,Aptenodytes forsteri,32
129,23/1/2017,vaccin,27,Giraffa camelopardalis,2
130,23/1/2017,soins divers,25,Ardea cinerea,5
131,23/1/2017,soins divers,1,Panthera uncia,1
132,23/1/2017,mise en quarantaine,19,Elephas maximus,37
133,23/1/2017,soins divers,4,Pongo pygmaeus,35
134,23/1/2017,operation,10,Ailurus fulgens,1
135,24/1/2017,vaccin,16,Struthio camelus,39
136,24/1/2017,vaccin,3,Loxodonta africana,13
137,24/1/2017,platre,12,Elephas maximus,11
138,25/1/2017,soins divers,26,Ailurus fulgens,26
139,25/1/2017,soins divers,11,Ailurus fulgens,19
140,25/1/2017,mise en quarantaine,10,Cervus canadensis,24
141,25/1/2017,soins divers,4,Eunectes murinus,30
142,25/1/2017,mise en quarantaine,19,Ardea cinerea,17
143,25/1/2017,mise en quarantaine,12,Pan troglodytes,27
144,25/1/2017,platre,12,Struthio camelus,20
145,26/1/2017,mise en quarantaine,12,Panthera pardus,8
146,26/1/2017,mise en quarantaine,2,Cervus canadensis,18
147,26/1/2017,operation,17,Canis lupus,1
148,26/1/2017,platre,16,Ailuropoda melanoleuca,8
149,27/1/2017,vaccin,10,Panthera uncia,8
150,27/1/2017,vaccin,12,Ursus maritimus,14
151,27/1/2017,soins divers,2,Hippopotamus amphibius,2
152,27/1/2017,mise en quarantaine,16,Falco peregrinus,4
153,27/1/2017,soins divers,4,Ailurus fulgens,27
154,27/1/2017,soins divers,29,Aptenodytes forsteri,39
155,27/1/2017,operation,25,Panthera tigris,17
156,27/1/2017,platre,17,Pongo pygmaeus,37
157,27/1/2017,vaccin,2,Equus caballus,26
158,27/1/2017,operation,4,Bubo scandiacus,2
159,27/1/2017,platre,10,Ardea cinerea,20
160,27/1/2017,vaccin,25,Falco peregrinus,28
161,27/1/2017,mise en quarantaine,4,Equus caballus,16
162,27/1/2017,soins divers,26,Panthera pardus,8
163,27/1/2017,mise en quarantaine,3,Loxodonta africana,5
164,27/1/2017,mise en quarantaine,28,Canis lupus,8
165,27/1/2017,soins divers,2,Haliaeetus leucocephalus,15
166,27/1/2017,vaccin,16,Struthio camelus,16
167,27/1/2017,vaccin,3,Cervus canadensis,19
168,27/1/2017,platre,1,Urocyon cinereoargenteus,30
169,27/1/2017,mise en quarantaine,12,Ailurus fulgens,38
170,28/1/2017,mise en quarantaine,16,Aptenodytes forsteri,40
171,28/1/2017,mise en quarantaine,16,Equus caballus,36
172,28/1/2017,mise en quarantaine,3,Felis silvestris,9
173,28/1/2017,vaccin,16,Panthera uncia,32
174,28/1/2017,soins divers,29,Panthera uncia,9
175,28/1/2017,mise en quarantaine,25,Ailuropoda melanoleuca,14
176,1/2/2017,soins divers,27,Struthio camelus,10
177,1/2/2017,soins divers,28,Urocyon cinereoargenteus,30
178,1/2/2017,platre,10,Rangifer tarandus,7
179,1/2/2017,vaccin,12,Pan troglodytes,16
180,1/2/2017,vaccin,1,Lutra lutra,3
181,2/2/2017,platre,12,Urocyon cinereoargenteus,14
182,2/2/2017,soins divers,28,Ailurus fulgens,38
183,2/2/2017,vaccin,30,Giraffa camelopardalis,1
184,3/2/2017,mise en quarantaine,11,Pan troglodytes,39
185,3/2/2017,mise en quarantaine,30,Giraffa camelopardalis,1
186,3/2/2017,operation,12,Prunella modularis,4
187,3/2/2017,operation,1,Lutra lutra,25
188,3/2/2017,soins divers,19,Falco peregrinus,25
189,3/2/2017,mise en quarantaine,19,Haliaeetus leucocephalus,2
190,3/2/2017,operation,30,Cervus canadensis,8
191,3/2/2017,soins divers,4,Ailurus fulgens,35
192,3/2/2017,soins divers,10,Lynx rufus,22
193,3/2/2017,operation,16,Rangifer tarandus,15
194,4/2/2017,platre,2,Panthera uncia,12
195,4/2/2017,mise en quarantaine,29,Struthio camelus,3
196,4/2/2017,platre,4,Panthera uncia,37
197,4/2/2017,mise en quarantaine,4,Loxodonta africana,17
198,4/2/2017,mise en quarantaine,29,Equus caballus,3
199,4/2/2017,soins divers,4,Panthera leo,15
200,4/2/2017,platre,4,Giraffa camelopardalis,8
201,4/2/2017,platre,25,Panthera tigris,16
202,4/2/2017,operation,12,Canis lupus,10
203,4/2/2017,operation,4,Panthera uncia,3
204,5/2/2017,mise en quarantaine,25,Panthera tigris,11
205,5/2/2017,mise en quarantaine,25,Panthera leo,18
206,5/2/2017,mise en quarantaine,16,Prunella modularis,6
207,5/2/2017,platre,25,Elephas maximus,18
208,5/2/2017,platre,25,Haliaeetus leucocephalus,3
209,5/2/2017,operation,16,Haliaeetus leucocephalus,3
210,5/2/2017,operation,4,Struthio camelus,9
211,5/2/2017,vaccin,3,Felis silvestris,21
212,5/2/2017,soins divers,4,Ailuropoda melanoleuca,20
213,5/2/2017,mise en quarantaine,3,Canis dingo,9
